         4        38       781       781B   
 E STATE HAS LABEL B   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  3
     6361.00  0.301681E+10 0.568853E+07 0.680359E+10 0.373547E+10
     6411.00  0.292567E+10 0.830368E+08 0.613131E+10 0.431223E+10
     6461.00  0.276924E+10 0.238800E+09 0.539719E+10 0.485624E+10
     6511.00  0.255769E+10 0.455571E+09 0.463007E+10 0.534632E+10
     6561.00  0.230314E+10 0.714507E+09 0.385866E+10 0.576332E+10
     6611.00  0.201891E+10 0.996360E+09 0.311015E+10 0.609105E+10
     6661.00  0.171874E+10 0.128244E+10 0.240909E+10 0.631703E+10
     6711.00  0.141610E+10 0.155545E+10 0.177639E+10 0.643313E+10
     6761.00  0.112346E+10 0.180028E+10 0.122862E+10 0.643580E+10
     6811.00  0.851813E+09 0.200447E+10 0.777478E+09 0.632618E+10
     6861.00  0.610197E+09 0.215869E+10 0.429659E+09 0.610987E+10
     6911.00  0.405395E+09 0.225686E+10 0.186852E+09 0.579654E+10
     6961.00  0.241769E+09 0.229623E+10 0.460474E+08 0.539935E+10
     7011.00  0.121227E+09 0.227725E+10 0.230162E+05 0.493422E+10
     7061.00  0.433048E+08 0.220324E+10 0.380000E+08 0.441897E+10
     7111.00  0.537803E+07 0.208003E+10 0.146418E+09 0.387246E+10
     7161.00  0.295467E+07 0.191547E+10 0.309782E+09 0.331370E+10
     7211.00  0.300501E+08 0.171885E+10 0.511541E+09 0.276106E+10
     7261.00  0.796123E+08 0.150038E+10 0.734942E+09 0.223142E+10
     7311.00  0.143976E+09 0.127057E+10 0.963831E+09 0.173963E+10
     7361.00  0.215324E+09 0.103971E+10 0.118336E+10 0.129795E+10
     7411.00  0.286131E+09 0.817359E+09 0.138058E+10 0.915705E+09
     7511.00  0.399909E+09 0.430447E+09 0.166838E+10 0.351191E+09
     7611.00  0.445200E+09 0.158303E+09 0.177513E+10 0.586178E+08
     7711.00  0.406525E+09 0.206566E+08 0.169290E+10 0.642757E+07
     7811.00  0.296182E+09 0.865798E+07 0.145232E+10 0.131107E+09
     7911.00  0.152351E+09 0.903453E+08 0.111095E+10 0.353025E+09
     8011.00  0.328394E+08 0.219788E+09 0.738493E+09 0.592637E+09
     8111.00  0.576694E+07 0.347903E+09 0.401888E+09 0.784193E+09
     8211.00  0.138798E+09 0.432902E+09 0.153050E+09 0.884916E+09
     8311.00  0.488577E+09 0.448677E+09 0.209108E+08 0.878777E+09
     8411.00  0.109183E+10 0.389913E+09 0.864587E+07 0.775000E+09
     8511.00  0.195923E+10 0.273409E+09 0.958973E+08 0.602355E+09
     8611.00  0.307268E+10 0.135677E+09 0.245032E+09 0.400806E+09
     8711.00  0.438613E+10 0.274626E+08 0.409933E+09 0.212339E+09
     8811.00  0.582966E+10 0.617698E+07 0.545607E+09 0.726274E+08
     8911.00  0.731606E+10 0.127457E+09 0.616967E+09 0.485494E+07
     9011.00  0.874924E+10 0.437042E+09 0.605468E+09 0.164632E+08
     9111.00  0.100331E+11 0.964019E+09 0.512732E+09 0.990248E+08
     9211.00  0.110805E+11 0.171623E+10 0.360836E+09 0.230928E+09
     9311.00  0.118205E+11 0.267828E+10 0.189444E+09 0.382155E+09
     9411.00  0.122041E+11 0.381223E+10 0.503986E+08 0.520181E+09
     9511.00  0.122079E+11 0.506076E+10 0.648855E+06 0.616001E+09
     9611.00  0.118354E+11 0.635233E+10 0.945608E+08 0.649314E+09
     9711.00  0.111151E+11 0.760766E+10 0.376619E+09 0.612184E+09
     9811.00  0.100983E+11 0.874679E+10 0.875400E+09 0.510721E+09
     9911.00  0.885371E+10 0.969600E+10 0.159948E+10 0.364674E+09
    10011.00  0.746173E+10 0.103939E+11 0.253563E+10 0.205102E+09
    10111.00  0.600846E+10 0.107963E+11 0.364938E+10 0.705364E+08
    10211.00  0.457933E+10 0.108791E+11 0.488781E+10 0.220343E+07
    10311.00  0.325343E+10 0.106399E+11 0.618405E+10 0.389347E+08
    10411.00  0.209881E+10 0.100973E+11 0.746307E+10 0.212401E+09
    10511.00  0.116882E+10 0.928877E+10 0.864806E+10 0.543198E+09
    10611.00  0.499872E+09 0.826729E+10 0.966668E+10 0.103819E+10
    10711.00  0.110440E+09 0.709696E+10 0.104568E+11 0.168931E+10
    10811.00  0.139423E+07 0.584804E+10 0.109713E+11 0.247395E+10
    10911.00  0.157407E+09 0.459200E+10 0.111807E+11 0.335667E+10
    11011.00  0.549253E+09 0.339684E+10 0.110755E+11 0.429217E+10
    11111.00  0.113675E+10 0.232293E+10 0.106659E+11 0.522901E+10
    11211.00  0.187206E+10 0.141982E+10 0.998031E+10 0.611381E+10
    11311.00  0.270315E+10 0.723916E+09 0.906261E+10 0.689543E+10
    11411.00  0.357709E+10 0.257298E+09 0.796874E+10 0.752880E+10
    11511.00  0.444308E+10 0.275217E+08 0.676236E+10 0.797817E+10
    11611.00  0.525503E+10 0.283649E+08 0.551034E+10 0.821937E+10
    11711.00  0.597355E+10 0.241353E+09 0.427851E+10 0.824116E+10
    11811.00  0.656740E+10 0.637888E+09 0.312763E+10 0.804555E+10
    11911.00  0.701422E+10 0.118177E+10 0.211017E+10 0.764709E+10
    12011.00  0.730086E+10 0.183190E+10 0.126774E+10 0.707138E+10
    12111.00  0.742296E+10 0.254503E+10 0.629523E+09 0.635291E+10
    12211.00  0.738430E+10 0.327828E+10 0.211572E+09 0.553241E+10
    12311.00  0.719569E+10 0.399142E+10 0.169544E+08 0.465408E+10
    12411.00  0.687364E+10 0.464867E+10 0.366813E+08 0.376267E+10
    12511.00  0.643895E+10 0.522019E+10 0.251250E+09 0.290091E+10
    12611.00  0.591525E+10 0.568291E+10 0.632644E+09 0.210718E+10
    12711.00  0.532750E+10 0.602104E+10 0.114661E+10 0.141365E+10
    12811.00  0.470076E+10 0.622605E+10 0.175507E+10 0.845034E+09
    12911.00  0.405899E+10 0.629632E+10 0.241849E+10 0.417765E+09
    13011.00  0.342410E+10 0.623644E+10 0.309804E+10 0.139854E+09
    13111.00  0.281528E+10 0.605631E+10 0.375754E+10 0.111623E+08
    13211.00  0.224846E+10 0.577009E+10 0.436500E+10 0.241289E+08
    13311.00  0.173604E+10 0.539506E+10 0.489378E+10 0.164834E+09
    13411.00  0.128686E+10 0.495045E+10 0.532335E+10 0.414299E+09
    13511.00  0.906240E+09 0.445639E+10 0.563963E+10 0.749919E+09
    13611.00  0.596258E+09 0.393287E+10 0.583498E+10 0.114695E+10
    13711.00  0.356100E+09 0.339894E+10 0.590785E+10 0.157993E+10
    13811.00  0.182482E+09 0.287196E+10 0.586217E+10 0.202401E+10
    13911.00  0.701327E+08 0.236709E+10 0.570658E+10 0.245608E+10
    14011.00  0.122826E+08 0.189692E+10 0.545349E+10 0.285572E+10
    14111.00  0.114644E+07 0.147131E+10 0.511810E+10 0.320583E+10
    14211.00  0.283776E+08 0.109727E+10 0.471742E+10 0.349319E+10
    14311.00  0.854769E+08 0.779100E+09 0.426930E+10 0.370854E+10
    14411.00  0.164145E+09 0.518544E+09 0.379159E+10 0.384668E+10
    14511.00  0.256575E+09 0.315061E+09 0.330137E+10 0.390621E+10
    14611.00  0.355676E+09 0.166150E+09 0.281434E+10 0.388918E+10
    14711.00  0.455235E+09 0.677146E+08 0.234433E+10 0.380065E+10
    14811.00  0.550023E+09 0.144341E+08 0.190301E+10 0.364811E+10
    14911.00  0.635834E+09 0.138168E+06 0.149966E+10 0.344087E+10
    15011.00  0.709492E+09 0.181598E+08 0.114110E+10 0.318948E+10
    15111.00  0.768804E+09 0.616577E+08 0.831756E+09 0.290513E+10
    15211.00  0.812493E+09 0.123899E+09 0.573803E+09 0.259910E+10
    15311.00  0.840095E+09 0.198498E+09 0.367357E+09 0.228228E+10
    15411.00  0.851856E+09 0.279604E+09 0.210751E+09 0.196481E+10
    15511.00  0.848605E+09 0.362041E+09 0.100839E+09 0.165571E+10
    15611.00  0.831632E+09 0.441400E+09 0.333084E+08 0.136269E+10
    15711.00  0.802570E+09 0.514094E+09 0.300035E+07 0.109202E+10
    15811.00  0.763277E+09 0.577357E+09 0.421759E+07 0.848443E+09
    15911.00  0.715735E+09 0.629231E+09 0.310074E+08 0.635190E+09
    16011.00  0.661960E+09 0.668511E+09 0.774150E+08 0.454080E+09
    16111.00  0.603918E+09 0.694670E+09 0.137700E+09 0.305613E+09
    16211.00  0.543467E+09 0.707778E+09 0.206513E+09 0.189137E+09
    16311.00  0.482304E+09 0.708404E+09 0.279035E+09 0.103028E+09
    16411.00  0.421930E+09 0.697513E+09 0.351067E+09 0.448797E+08
    16511.00  0.363626E+09 0.676371E+09 0.419097E+09 0.117027E+08
    16611.00  0.308446E+09 0.646450E+09 0.480318E+09 0.110997E+06
    16711.00  0.257209E+09 0.609340E+09 0.532623E+09 0.650013E+07
    16811.00  0.210509E+09 0.566672E+09 0.574577E+09 0.272055E+08
    16911.00  0.168733E+09 0.520054E+09 0.605364E+09 0.586400E+08
    17011.00  0.132071E+09 0.471012E+09 0.624720E+09 0.974080E+08
    17111.00  0.100547E+09 0.420953E+09 0.632856E+09 0.140394E+09
    17211.00  0.740405E+08 0.371133E+09 0.630378E+09 0.184831E+09
    17311.00  0.523112E+08 0.322632E+09 0.618202E+09 0.228341E+09
    17411.00  0.350272E+08 0.276351E+09 0.597471E+09 0.268959E+09
    17511.00  0.217889E+08 0.233005E+09 0.569480E+09 0.305136E+09
    17611.00  0.121517E+08 0.193128E+09 0.535606E+09 0.335731E+09
    17711.00  0.564705E+07 0.157087E+09 0.497243E+09 0.359987E+09
    17811.00  0.180071E+07 0.125091E+09 0.455752E+09 0.377494E+09
    17911.00  0.147767E+06 0.972135E+08 0.412419E+09 0.388156E+09
    18011.00  0.245221E+06 0.734080E+08 0.368419E+09 0.392137E+09
    18111.00  0.168154E+07 0.535297E+08 0.324797E+09 0.389823E+09
    18211.00  0.408354E+07 0.373547E+08 0.282449E+09 0.381772E+09
    18311.00  0.712091E+07 0.245985E+08 0.242117E+09 0.368666E+09
    18411.00  0.105084E+08 0.149342E+08 0.204388E+09 0.351270E+09
    18511.00  0.140063E+08 0.800846E+07 0.169698E+09 0.330398E+09
    18611.00  0.174193E+08 0.345544E+07 0.138342E+09 0.306869E+09
    18711.00  0.205944E+08 0.909073E+06 0.110488E+09 0.281486E+09
    18811.00  0.234171E+08 0.132308E+05 0.861876E+08 0.255007E+09
    18911.00  0.258084E+08 0.429899E+06 0.653960E+08 0.228130E+09
    19011.00  0.277194E+08 0.184548E+07 0.479856E+08 0.201474E+09
    19111.00  0.291282E+08 0.397534E+07 0.337641E+08 0.175576E+09
    19311.00  0.304560E+08 0.940106E+07 0.138829E+08 0.127746E+09
    19511.00  0.299796E+08 0.150906E+08 0.346812E+07 0.871316E+08
    19711.00  0.280535E+08 0.199556E+08 0.564518E+05 0.548962E+08
    19911.00  0.251017E+08 0.233819E+08 0.130018E+07 0.311101E+08
    20111.00  0.215481E+08 0.251434E+08 0.516163E+07 0.150454E+08
    20311.00  0.177704E+08 0.253024E+08 0.100179E+08 0.547922E+07
    20511.00  0.140743E+08 0.241084E+08 0.146927E+08 0.962951E+06
    20711.00  0.106838E+08 0.219094E+08 0.184352E+08 0.362921E+05
    20911.00  0.774197E+07 0.190784E+08 0.208623E+08 0.137592E+07
    21111.00  0.531967E+07 0.159612E+08 0.218819E+08 0.388293E+07
    21311.00  0.342851E+07 0.128439E+08 0.216093E+08 0.671862E+07
    21511.00  0.203546E+07 0.993788E+07 0.202876E+08 0.930191E+07
    21711.00  0.107782E+07 0.737944E+07 0.182190E+08 0.112817E+08
    21911.00  0.476826E+06 0.523766E+07 0.157102E+08 0.124958E+08
    22111.00  0.149189E+06 0.352843E+07 0.130359E+08 0.129250E+08
    22311.00  0.159070E+05 0.222938E+07 0.104165E+08 0.126486E+08
    22511.00  0.820961E+04 0.129418E+07 0.801009E+07 0.118053E+08
    22711.00  0.707391E+05 0.664290E+06 0.591436E+07 0.105602E+08
    22911.00  0.162393E+06 0.277744E+06 0.417464E+07 0.907977E+07
    23111.00  0.255389E+06 0.751294E+05 0.279576E+07 0.751416E+07
    23311.00  0.333197E+06 0.313998E+04 0.175406E+07 0.598581E+07
    23511.00  0.387957E+06 0.163864E+05 0.100861E+07 0.458459E+07
    23711.00  0.417860E+06 0.780164E+05 0.510083E+06 0.336724E+07
    23911.00  0.424856E+06 0.159607E+06 0.207410E+06 0.236086E+07
    24111.00  0.412841E+06 0.240627E+06 0.521459E+05 0.156830E+07
    24311.00  0.386400E+06 0.307631E+06 0.107101E+04 0.974918E+06
    24511.00  0.350018E+06 0.353271E+06 0.174833E+05 0.555087E+06
    24711.00  0.307673E+06 0.375165E+06 0.716298E+05 0.277980E+06
    24911.00  0.262690E+06 0.374662E+06 0.140605E+06 0.112035E+06
    25111.00  0.217739E+06 0.355582E+06 0.207923E+06 0.279874E+05
    25311.00  0.174892E+06 0.323037E+06 0.262882E+06 0.581786E+03
    25511.00  0.135700E+06 0.282401E+06 0.299751E+06 0.923270E+04
    25711.00  0.101243E+06 0.238548E+06 0.316843E+06 0.379623E+05
    25911.00  0.721680E+05 0.195366E+06 0.315480E+06 0.749302E+05
    26111.00  0.487106E+05 0.155565E+06 0.298954E+06 0.111802E+06
    26311.00  0.307294E+05 0.120706E+06 0.271538E+06 0.143110E+06
    26511.00  0.177579E+05 0.913980E+05 0.237662E+06 0.165696E+06
    26711.00  0.908144E+04 0.675568E+05 0.201285E+06 0.178231E+06
    26911.00  0.383812E+04 0.486762E+05 0.165540E+06 0.180812E+06
 K.E.IE==>     24           25           26           27
        1.00  0.296913E+06 0.962449E+08 0.269406E+06 0.135041E+09
        2.00  0.342839E+06 0.256238E+08 0.294064E+07 0.311556E+08
        3.00  0.378422E+07 0.270017E+08 0.159248E+08 0.260859E+08
        4.00  0.155785E+08 0.238010E+08 0.525197E+08 0.147371E+08
        5.00  0.433355E+08 0.152054E+08 0.130638E+09 0.241285E+07
        6.00  0.963860E+08 0.499712E+07 0.271096E+09 0.304199E+07
        7.00  0.185065E+09 0.781950E+04 0.495883E+09 0.358674E+08
        8.00  0.320017E+09 0.916458E+07 0.826594E+09 0.123048E+09
        9.00  0.511565E+09 0.425978E+08 0.128308E+10 0.287521E+09
       10.00  0.769167E+09 0.110824E+09 0.188235E+10 0.551177E+09
       11.00  0.110098E+10 0.224036E+09 0.263780E+10 0.933392E+09
       12.00  0.151358E+10 0.391520E+09 0.355873E+10 0.144996E+10
       13.00  0.201178E+10 0.621237E+09 0.465026E+10 0.211248E+10
       14.00  0.259865E+10 0.919558E+09 0.591348E+10 0.292806E+10
       15.00  0.327561E+10 0.129114E+10 0.734584E+10 0.389944E+10
       16.00  0.404251E+10 0.173892E+10 0.894160E+10 0.502528E+10
       17.00  0.489784E+10 0.226418E+10 0.106923E+11 0.630059E+10
       18.00  0.583889E+10 0.286667E+10 0.125872E+11 0.771717E+10
       19.00  0.686188E+10 0.354475E+10 0.146138E+11 0.926421E+10
       20.00  0.796215E+10 0.429555E+10 0.167580E+11 0.109287E+11
       21.00  0.913431E+10 0.511517E+10 0.190049E+11 0.126960E+11
       22.00  0.103724E+11 0.599883E+10 0.213388E+11 0.145504E+11
       23.00  0.116702E+11 0.694110E+10 0.237440E+11 0.164753E+11
       24.00  0.130211E+11 0.793603E+10 0.262045E+11 0.184541E+11
       25.00  0.144185E+11 0.897737E+10 0.287050E+11 0.204702E+11
       26.00  0.158558E+11 0.100587E+11 0.312305E+11 0.225074E+11
       27.00  0.173265E+11 0.111735E+11 0.337668E+11 0.245500E+11
       28.00  0.188243E+11 0.123152E+11 0.363006E+11 0.265833E+11
       29.00  0.203430E+11 0.134776E+11 0.388192E+11 0.285932E+11
       30.00  0.218768E+11 0.146543E+11 0.413108E+11 0.305669E+11
       31.00  0.234198E+11 0.158393E+11 0.437645E+11 0.324924E+11
       32.00  0.249666E+11 0.170269E+11 0.461702E+11 0.343585E+11
       33.00  0.265121E+11 0.182114E+11 0.485185E+11 0.361555E+11
       34.00  0.280513E+11 0.193876E+11 0.508010E+11 0.378742E+11
       35.00  0.295795E+11 0.205504E+11 0.530100E+11 0.395069E+11
       36.00  0.310922E+11 0.216952E+11 0.551386E+11 0.410465E+11
       37.00  0.325855E+11 0.228177E+11 0.571808E+11 0.424872E+11
       38.00  0.340554E+11 0.239139E+11 0.591312E+11 0.438240E+11
       39.00  0.354986E+11 0.249800E+11 0.609854E+11 0.450529E+11
       40.00  0.369118E+11 0.260128E+11 0.627395E+11 0.461709E+11
       42.00  0.396368E+11 0.279667E+11 0.659357E+11 0.480653E+11
       44.00  0.422103E+11 0.297555E+11 0.687018E+11 0.494979E+11
       46.00  0.446160E+11 0.313633E+11 0.710286E+11 0.504697E+11
       48.00  0.468407E+11 0.327788E+11 0.729137E+11 0.509901E+11
       50.00  0.488742E+11 0.339938E+11 0.743606E+11 0.510758E+11
       52.00  0.507088E+11 0.350036E+11 0.753777E+11 0.507493E+11
       54.00  0.523393E+11 0.358064E+11 0.759778E+11 0.500377E+11
       56.00  0.537626E+11 0.364032E+11 0.761776E+11 0.489720E+11
       58.00  0.549781E+11 0.367974E+11 0.759970E+11 0.475860E+11
       60.00  0.559867E+11 0.369944E+11 0.754585E+11 0.459157E+11
       62.00  0.567913E+11 0.370015E+11 0.745863E+11 0.439979E+11
       64.00  0.573959E+11 0.368272E+11 0.734062E+11 0.418701E+11
       66.00  0.578058E+11 0.364815E+11 0.719445E+11 0.395693E+11
       68.00  0.580269E+11 0.359749E+11 0.702278E+11 0.371318E+11
       70.00  0.580661E+11 0.353189E+11 0.682831E+11 0.345930E+11
       72.00  0.579308E+11 0.345252E+11 0.661369E+11 0.319867E+11
       74.00  0.576291E+11 0.336061E+11 0.638155E+11 0.293453E+11
       76.00  0.571695E+11 0.325743E+11 0.613446E+11 0.266992E+11
       78.00  0.565611E+11 0.314424E+11 0.587494E+11 0.240768E+11
       80.00  0.558131E+11 0.302233E+11 0.560542E+11 0.215046E+11
       82.00  0.549352E+11 0.289296E+11 0.532824E+11 0.190067E+11
       84.00  0.539373E+11 0.275739E+11 0.504564E+11 0.166050E+11
       86.00  0.528290E+11 0.261684E+11 0.475970E+11 0.143191E+11
       88.00  0.516203E+11 0.247249E+11 0.447242E+11 0.121661E+11
       90.00  0.503207E+11 0.232549E+11 0.418565E+11 0.101609E+11
       92.00  0.489399E+11 0.217694E+11 0.390108E+11 0.831619E+10
       94.00  0.474872E+11 0.202788E+11 0.362031E+11 0.664246E+10
       96.00  0.459717E+11 0.187931E+11 0.334476E+11 0.514806E+10
       98.00  0.444025E+11 0.173216E+11 0.307577E+11 0.383935E+10
      100.00  0.427882E+11 0.158731E+11 0.281449E+11 0.272076E+10
      102.00  0.411374E+11 0.144558E+11 0.256199E+11 0.179491E+10
      104.00  0.394581E+11 0.130774E+11 0.231919E+11 0.106268E+10
      106.00  0.377584E+11 0.117448E+11 0.208691E+11 0.523366E+09
      108.00  0.360457E+11 0.104644E+11 0.186582E+11 0.174756E+09
      110.00  0.343272E+11 0.924199E+10 0.165649E+11 0.132697E+08
      112.00  0.326098E+11 0.808266E+10 0.145940E+11 0.340720E+08
      114.00  0.308999E+11 0.699095E+10 0.127488E+11 0.231193E+09
      116.00  0.292037E+11 0.597079E+10 0.110320E+11 0.597647E+09
      118.00  0.275267E+11 0.502551E+10 0.944519E+10 0.112555E+10
      122.00  0.242513E+11 0.337017E+10 0.666329E+10 0.263030E+10
      126.00  0.211115E+11 0.204070E+10 0.439924E+10 0.466853E+10
      130.00  0.181392E+11 0.104481E+10 0.263778E+10 0.715570E+10
      134.00  0.153603E+11 0.382827E+09 0.135410E+10 0.100028E+11
      138.00  0.127953E+11 0.484525E+08 0.515600E+09 0.131190E+11
      142.00  0.104595E+11 0.295679E+08 0.835729E+08 0.164145E+11
      146.00  0.836308E+10 0.309049E+09 0.148050E+08 0.198019E+11
      150.00  0.651158E+10 0.865581E+09 0.263064E+09 0.231986E+11
      154.00  0.490640E+10 0.167444E+10 0.780442E+09 0.265282E+11
      158.00  0.354518E+10 0.270825E+10 0.151855E+10 0.297208E+11
      162.00  0.242223E+10 0.393768E+10 0.242957E+10 0.327149E+11
      166.00  0.152895E+10 0.533214E+10 0.346717E+10 0.354575E+11
      170.00  0.854257E+09 0.686038E+10 0.458729E+10 0.379042E+11
      174.00  0.384964E+09 0.849110E+10 0.574877E+10 0.400199E+11
      178.00  0.106181E+09 0.101934E+11 0.691387E+10 0.417782E+11
      182.00  0.169305E+07 0.119373E+11 0.804864E+10 0.431613E+11
      186.00  0.543130E+08 0.136939E+11 0.912315E+10 0.441593E+11
      190.00  0.246208E+09 0.154361E+11 0.101117E+11 0.447701E+11
      194.00  0.559197E+09 0.171385E+11 0.109929E+11 0.449985E+11
      198.00  0.975032E+09 0.187777E+11 0.117495E+11 0.448556E+11
      202.00  0.147564E+10 0.203328E+11 0.123687E+11 0.443582E+11
      206.00  0.204334E+10 0.217850E+11 0.128415E+11 0.435280E+11
      210.00  0.266107E+10 0.231183E+11 0.131629E+11 0.423909E+11
      214.00  0.331251E+10 0.243188E+11 0.133314E+11 0.409759E+11
      218.00  0.398229E+10 0.253753E+11 0.133488E+11 0.393147E+11
      222.00  0.465603E+10 0.262792E+11 0.132201E+11 0.374407E+11
      226.00  0.532050E+10 0.270239E+11 0.129528E+11 0.353885E+11
      230.00  0.596365E+10 0.276055E+11 0.125566E+11 0.331933E+11
      234.00  0.657470E+10 0.280220E+11 0.120435E+11 0.308899E+11
      238.00  0.714415E+10 0.282735E+11 0.114268E+11 0.285129E+11
      242.00  0.766382E+10 0.283624E+11 0.107215E+11 0.260956E+11
      246.00  0.812685E+10 0.282926E+11 0.994319E+10 0.236697E+11
      250.00  0.852767E+10 0.280696E+11 0.910837E+10 0.212652E+11
      254.00  0.886198E+10 0.277006E+11 0.823379E+10 0.189097E+11
      258.00  0.912671E+10 0.271938E+11 0.733624E+10 0.166284E+11
      262.00  0.931998E+10 0.265587E+11 0.643236E+10 0.144440E+11
      266.00  0.944100E+10 0.258057E+11 0.553828E+10 0.123761E+11
      270.00  0.949007E+10 0.249457E+11 0.466953E+10 0.104416E+11
      274.00  0.946844E+10 0.239905E+11 0.384075E+10 0.865460E+10
      282.00  0.922257E+10 0.218432E+11 0.235655E+10 0.556440E+10
      290.00  0.873019E+10 0.194629E+11 0.118035E+10 0.316057E+10
      298.00  0.802855E+10 0.169489E+11 0.385212E+09 0.145594E+10
      306.00  0.716253E+10 0.143958E+11 0.208316E+08 0.425986E+09
      314.00  0.618196E+10 0.118909E+11 0.113100E+09 0.150063E+08
      322.00  0.513903E+10 0.951107E+10 0.664888E+09 0.142994E+09
      330.00  0.408600E+10 0.732142E+10 0.165778E+10 0.712804E+09
      338.00  0.307314E+10 0.537391E+10 0.305460E+10 0.161718E+10
      346.00  0.214690E+10 0.370677E+10 0.480248E+10 0.274536E+10
      354.00  0.134853E+10 0.234459E+10 0.683630E+10 0.398899E+10
      362.00  0.712942E+09 0.129885E+10 0.908221E+10 0.524715E+10
      370.00  0.267982E+09 0.568838E+09 0.114612E+11 0.643039E+10
      378.00  0.339429E+08 0.142958E+09 0.138926E+11 0.746375E+10
      386.00  0.234133E+08 0.205031E+06 0.162971E+11 0.828883E+10
      394.00  0.241360E+09 0.111825E+09 0.185998E+11 0.886476E+10
      402.00  0.685456E+09 0.443060E+09 0.207323E+11 0.916833E+10
      410.00  0.134660E+10 0.954908E+09 0.226347E+11 0.919332E+10
      418.00  0.220957E+10 0.160584E+10 0.242572E+11 0.894917E+10
      426.00  0.325385E+10 0.235341E+10 0.255609E+11 0.845911E+10
      434.00  0.445450E+10 0.315575E+10 0.265185E+11 0.775793E+10
      442.00  0.578306E+10 0.397292E+10 0.271141E+11 0.688949E+10
      450.00  0.720861E+10 0.476801E+10 0.273431E+11 0.590405E+10
      458.00  0.869861E+10 0.550809E+10 0.272119E+11 0.485562E+10
      466.00  0.102199E+11 0.616493E+10 0.267360E+11 0.379942E+10
      474.00  0.117396E+11 0.671550E+10 0.259398E+11 0.278945E+10
      482.00  0.132257E+11 0.714227E+10 0.248548E+11 0.187645E+10
      490.00  0.146480E+11 0.743338E+10 0.235184E+11 0.110602E+10
      498.00  0.159789E+11 0.758253E+10 0.219722E+11 0.517137E+09
      506.00  0.171934E+11 0.758877E+10 0.202607E+11 0.141076E+09
      514.00  0.182701E+11 0.745618E+10 0.184298E+11 0.598143E+06
      522.00  0.191909E+11 0.719333E+10 0.165254E+11 0.109589E+09
      530.00  0.199418E+11 0.681276E+10 0.145920E+11 0.472988E+09
      538.00  0.205125E+11 0.633035E+10 0.126719E+11 0.108704E+10
      546.00  0.208968E+11 0.576465E+10 0.108040E+11 0.193981E+10
      554.00  0.210923E+11 0.513619E+10 0.902307E+10 0.301196E+10
      562.00  0.211004E+11 0.446677E+10 0.735932E+10 0.427767E+10
      570.00  0.209257E+11 0.377881E+10 0.583767E+10 0.570573E+10
      578.00  0.205763E+11 0.309464E+10 0.447764E+10 0.726075E+10
      586.00  0.200629E+11 0.243598E+10 0.329325E+10 0.890436E+10
      596.00  0.192109E+11 0.167959E+10 0.207233E+10 0.110223E+11
      606.00  0.181538E+11 0.103120E+10 0.114414E+10 0.131368E+11
      616.00  0.169259E+11 0.521800E+09 0.502210E+09 0.151710E+11
      626.00  0.155639E+11 0.176155E+09 0.129620E+09 0.170535E+11
      636.00  0.141058E+11 0.122270E+08 0.721284E+06 0.187208E+11
      646.00  0.125897E+11 0.408347E+08 0.829533E+08 0.201197E+11
      656.00  0.110527E+11 0.265617E+09 0.338799E+09 0.212084E+11
      666.00  0.953000E+10 0.683245E+09 0.727733E+09 0.219582E+11
      676.00  0.805395E+10 0.128386E+10 0.120812E+10 0.223531E+11
      686.00  0.665338E+10 0.205172E+10 0.173896E+10 0.223900E+11
      696.00  0.535309E+10 0.296596E+10 0.228149E+10 0.220782E+11
      706.00  0.417343E+10 0.400154E+10 0.280053E+10 0.214381E+11
      716.00  0.313009E+10 0.513021E+10 0.326559E+10 0.204996E+11
      726.00  0.223402E+10 0.632153E+10 0.365169E+10 0.193009E+11
      736.00  0.149146E+10 0.754388E+10 0.393993E+10 0.178863E+11
      746.00  0.904186E+09 0.876550E+10 0.411776E+10 0.163044E+11
      756.00  0.469738E+09 0.995540E+10 0.417904E+10 0.146061E+11
      766.00  0.181842E+09 0.110843E+11 0.412382E+10 0.128427E+11
      776.00  0.308554E+08 0.121251E+11 0.395791E+10 0.110644E+11
      786.00  0.428387E+07 0.130542E+11 0.369231E+10 0.931833E+10
      796.00  0.873338E+08 0.138510E+11 0.334245E+10 0.764738E+10
      806.00  0.263484E+09 0.144993E+11 0.292741E+10 0.608918E+10
      816.00  0.515058E+09 0.149868E+11 0.246893E+10 0.467510E+10
      826.00  0.823788E+09 0.153057E+11 0.199054E+10 0.342978E+10
      836.00  0.117135E+10 0.154523E+11 0.151658E+10 0.237075E+10
      846.00  0.153988E+10 0.154275E+11 0.107133E+10 0.150844E+10
      856.00  0.191238E+10 0.152358E+11 0.678087E+09 0.846318E+09
      866.00  0.227318E+10 0.148856E+11 0.358457E+09 0.381333E+09
      876.00  0.260822E+10 0.143883E+11 0.131640E+09 0.104480E+09
      886.00  0.290536E+10 0.137583E+11 0.138818E+08 0.154412E+07
      896.00  0.315454E+10 0.130125E+11 0.180258E+08 0.539414E+08
      906.00  0.334799E+10 0.121693E+11 0.153198E+09 0.239648E+09
      916.00  0.348022E+10 0.112485E+11 0.424617E+09 0.534164E+09
      926.00  0.354810E+10 0.102708E+11 0.833536E+09 0.911496E+09
      936.00  0.355078E+10 0.925681E+10 0.137729E+10 0.134510E+10
      946.00  0.348957E+10 0.822706E+10 0.204949E+10 0.180881E+10
