#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  1  2  4  2  0.118239E-06  83864.95
  1  2  5  2  0.165352E-06  80640.37
  1  2  6  2  0.325377E-05  77643.67
  1  2  7  2  0.399992E-04  74879.12
  1  2  8  2  0.469401E-03  72354.31
  1  2  9  2  0.470641E-02  70080.88
  1  2 10  2  0.358932E-01  68075.88
  1  2 11  2  0.181106E+00  66362.55
  1  2 12  2  0.465672E+00  64974.40
  1  2 13  2  0.291029E+00  63957.63
  1  2 14  2  0.548880E-02  63377.53
  1  3  0  3  0.157174E+00  98837.76
  1  3  1  3  0.358477E+00  94711.89
  1  3  2  3  0.314458E+00  90820.60
  1  3  3  3  0.135750E+00  87159.16
  1  3  4  3  0.305013E-01  83725.03
  1  3  5  3  0.345458E-02  80517.29
  1  3  6  3  0.178200E-03  77537.72
  1  3  7  3  0.436887E-05  74790.77
  1  3  8  3  0.316849E-06  72284.32
  1  3  9  3  0.129683E-06  70030.36
  1  3 10  3  0.388571E-09  68046.34
  1  3 11  3  0.332980E-06  66356.75
  1  3 12  3  0.134235E-05  64995.88
  1  3 13  3  0.863858E-06  64012.00
  1  3 14  3  0.221034E-07  63475.38
  1  4  0  4  0.156644E+00  98623.10
  1  4  1  4  0.358151E+00  94520.52
  1  4  2  4  0.314842E+00  90652.02
  1  4  3  4  0.136120E+00  87013.10
  1  4  4  4  0.305962E-01  83601.22
  1  4  5  4  0.346207E-02  80415.89
  1  4  6  4  0.178945E-03  77459.03
  1  4  7  4  0.466319E-05  74735.52
  1  4  8  4  0.452411E-06  72253.44
  1  4  9  4  0.267883E-06  70025.46
  1  4 10  4  0.744979E-07  68069.73
  1  4 11  4  0.218432E-07  66411.78
  1  4 12  4  0.315433E-06  65087.55
  1  4 13  4  0.256692E-06  64148.41
  1  5  0  5  0.155960E+00  98358.62
  1  5  1  5  0.357717E+00  94284.88
  1  5  2  5  0.315330E+00  90444.68
  1  5  3  5  0.136604E+00  86833.56
  1  5  4  5  0.307265E-01  83449.35
  1  5  5  5  0.347427E-02  80291.80
  1  5  6  5  0.180345E-03  77363.22
  1  5  7  5  0.511563E-05  74668.73
  1  5  8  5  0.673364E-06  72217.11
  1  5  9  5  0.481187E-06  70021.61
  1  5 10  5  0.213939E-06  68101.33
  1  5 11  5  0.475630E-09  66483.23
  1  5 12  5  0.247775E-06  65205.55
  1  5 13  5  0.310439E-06  64323.89
  1  6  0  6  0.155106E+00  98047.03
  1  6  1  6  0.357154E+00  94007.51
  1  6  2  6  0.315926E+00  90200.59
  1  6  3  6  0.137222E+00  86622.61
  1  6  4  6  0.309023E-01  83271.43
  1  6  5  6  0.349483E-02  80147.02
  1  6  6  6  0.183344E-03  77252.02
  1  6  7  6  0.595190E-05  74592.25
  1  6  8  6  0.116402E-05  72177.09
  1  6  9  6  0.109774E-05  70020.58
  1  6 10  6  0.800997E-06  68143.03
  1  6 11  6  0.119895E-06  66573.25
  1  6 12  6  0.492713E-06  65352.37
  1  6 13  6  0.118302E-05  64542.76
  1  7  0  7  0.153673E+00  97690.42
  1  7  1  7  0.355540E+00  93690.55
  1  7  2  7  0.315854E+00  89922.31
  1  7  3  7  0.137666E+00  86382.53
  1  7  4  7  0.310793E-01  83069.23
  1  7  5  7  0.353515E-02  79983.05
  1  7  6  7  0.199531E-03  77127.04
  1  7  7  7  0.158694E-04  74507.55
  1  7  8  7  0.265557E-04  72134.85
  1  7  9  7  0.113717E-03  70023.85
  1  7 10  7  0.334231E-03  68196.53
  1  7 11  7  0.278494E-03  66683.93
  1  7 12  7  0.189938E-03  65531.38
  1  7 13  7  0.105586E-02  64811.14
  1  8  0  8  0.413760E-06  96936.43
  1  8  1  8  0.115568E-05  92980.39
  1  8  2  8  0.148497E-05  89256.04
  1  8  3  8  0.151738E-05  85759.28
  1  8  4  8  0.256500E-05  82489.10
  1  8  5  8  0.118121E-04  79446.02
  1  8  6  8  0.100854E-03  76634.26
  1  8  7  8  0.974953E-03  74060.50
  1  8  8  8  0.812039E-02  71736.08
  1  8  9  8  0.475313E-01  69677.37
  1  8 10  8  0.145602E+00  67907.73
  1  8 11  8  0.868596E-01  66461.88
  1  8 12  8  0.176765E+00  65390.15
  1  9  0  9  0.510142E-07  96092.25
  1  9  1  9  0.175432E-06  92185.94
  1  9  2  9  0.323058E-06  88509.42
  1  9  3  9  0.599041E-06  85060.39
  1  9  4  9  0.199659E-05  81837.79
  1  9  5  9  0.135209E-04  78843.01
  1  9  6  9  0.131546E-03  76080.55
  1  9  7  9  0.131544E-02  73558.18
  1  9  8  9  0.108183E-01  71288.14
  1  9  9  9  0.598129E-01  69288.33
  1  9 10  9  0.158116E+00  67584.82
  1  9 11  9  0.451936E-01  66215.58
  1  9 12  9  0.333327E+00  65239.61
  1 10  0 10  0.120681E-07  95180.76
  1 10  1 10  0.515929E-07  91327.78
  1 10  2 10  0.133352E-06  87704.15
  1 10  3 10  0.390908E-06  84307.55
  1 10  4 10  0.197277E-05  81137.12
  1 10  5 10  0.167949E-04  78195.36
  1 10  6 10  0.179253E-03  75487.22
  1 10  7 10  0.183424E-02  73021.46
  1 10  8 10  0.147534E-01  70811.77
