#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       11759
  0  8  7  6  0.708653E-04  73932.28
  0  8  8 10  0.438772E-02  69402.02
  0  8  8  6  0.878498E-03  71517.12
  0  8  9 10  0.373529E-01  67468.30
  0  8  9  6  0.879210E-02  69360.61
  0  8 10 10  0.203440E+00  65839.14
  0  8 10  6  0.635295E-01  67483.06
  0  8 11 10  0.514457E+00  64558.19
  0  8 11  6  0.279926E+00  65913.28
  0  8 12 10  0.188172E+00  63697.22
  0  8 12  6  0.512960E+00  64692.40
  0  8 13  6  0.845450E-01  63882.79
  0  9  0 11  0.138059E-09  92778.27
  0  9  1 11  0.766643E-09  88983.18
  0  9  1  7  0.377601E-09  92722.86
  0  9  2 11  0.331052E-08  85416.72
  0  9  2  7  0.148021E-08  88954.62
  0  9  3 11  0.199877E-07  82076.47
  0  9  3  7  0.651486E-08  85414.84
  0  9  4 11  0.200639E-06  78962.82
  0  9  4  7  0.446649E-07  82101.54
  0  9  5 11  0.281054E-05  76078.62
  0  9  5  7  0.480266E-06  79015.36
  0  9  6 11  0.429261E-04  73429.70
  0  9  6  7  0.657696E-05  76159.35
  0  9  7 11  0.598100E-03  71026.19
  0  9  7  7  0.926726E-04  73539.86
  0  9  8 11  0.673217E-02  68883.26
  0  9  8  7  0.115578E-02  71167.16
  0  9  9 11  0.547059E-01  67022.65
  0  9  9  7  0.114244E-01  69056.16
  0  9 10 11  0.270254E+00  65477.60
  0  9 10  7  0.798588E-01  67228.84
  0  9 11 11  0.536630E+00  64298.15
  0  9 11  7  0.327397E+00  65716.24
  0  9 12  7  0.498796E+00  64563.69
  0  9 13  7  0.275986E-01  63843.45
  0 10  1 12  0.483855E-09  87998.94
  0 10  1  8  0.199911E-09  92022.61
  0 10  2 12  0.279085E-08  84493.23
  0 10  2  8  0.990665E-09  88298.26
  0 10  3 12  0.224808E-07  81213.60
  0 10  3  8  0.564403E-08  84801.50
  0 10  4 12  0.276639E-06  78160.90
  0 10  4  8  0.480742E-07  81531.32
  0 10  5 12  0.431917E-05  75338.61
  0 10  5  8  0.593152E-06  78488.24
  0 10  6 12  0.689470E-04  72754.01
  0 10  6  8  0.871711E-05  75676.48
  0 10  7 12  0.965364E-03  70418.06
  0 10  7  8  0.126388E-03  73102.72
  0 10  8 12  0.106093E-01  68348.34
  0 10  8  8  0.158053E-02  70778.30
  0 10  9 12  0.813957E-01  66569.15
  0 10  9  8  0.153548E-01  68719.59
  0 10 10 12  0.354848E+00  65118.39
  0 10 10  8  0.102901E+00  66949.95
  0 10 11 12  0.496220E+00  64057.27
  0 10 11  8  0.384310E+00  65504.10
  0 10 12  8  0.452627E+00  64432.37
  0 11  1 13  0.340605E-09  86970.84
  0 11  1  9  0.115500E-09  91253.62
  0 11  2 13  0.262001E-08  83529.80
  0 11  2  9  0.723800E-09  87577.10
  0 11  3 13  0.275644E-07  80314.82
  0 11  3  9  0.528155E-08  84128.07
  0 11  4 13  0.406049E-06  77327.29
  0 11  4  9  0.550601E-07  80905.47
  0 11  5 13  0.695728E-05  74571.68
  0 11  5  9  0.771286E-06  77910.69
  0 11  6 13  0.115012E-03  72056.08
  0 11  6  9  0.120898E-04  75148.23
  0 11  7 13  0.160768E-02  69793.68
  0 11  7  9  0.179614E-03  72625.86
  0 11  8 13  0.171235E-01  67803.45
  0 11  8  9  0.224305E-02  70355.82
  0 11  9 13  0.122298E+00  66114.26
  0 11  9  9  0.212948E-01  68356.01
  0 11 10 13  0.451941E+00  64770.29
  0 11 10  9  0.135303E+00  66652.50
  0 11 11  9  0.447515E+00  65283.26
  0 11 12  9  0.361945E+00  64307.29
  0 12  1 14  0.267508E-09  85905.64
  0 12  2 14  0.273215E-08  82532.99
  0 12  2 10  0.577347E-09  86797.30
  0 12  3 14  0.367355E-07  79386.47
  0 12  3 10  0.534320E-08  83400.70
  0 12  4 14  0.633199E-06  76468.16
  0 12  4 10  0.672028E-07  80230.27
  0 12  5 14  0.117272E-04  73783.35
  0 12  5 10  0.105670E-05  77288.51
  0 12  6 14  0.198930E-03  71341.82
  0 12  6 10  0.175396E-04  74580.37
  0 12  7 14  0.275704E-02  69158.43
  0 12  7 10  0.265692E-03  72114.61
  0 12  8 14  0.282130E-01  67255.56
  0 12  8 10  0.329792E-02  69904.92
  0 12  9 14  0.184046E+00  65666.01
  0 12  9 10  0.303876E-01  67971.20
  0 12 10 14  0.540735E+00  64444.01
  0 12 10 10  0.180498E+00  66342.04
  0 12 11 10  0.508022E+00  65061.09
  0 12 12 10  0.225223E+00  64200.12
  0 13  1 15  0.234810E-09  84809.09
  0 13  2 15  0.315896E-08  81508.40
  0 13  2 11  0.503604E-09  85965.09
  0 13  3 15  0.530418E-07  78433.68
  0 13  3 11  0.585108E-08  82624.84
  0 13  4 15  0.104627E-05  75588.36
  0 13  4 11  0.874708E-07  79511.19
  0 13  5 15  0.206443E-04  72979.03
  0 13  5 11  0.152520E-05  76626.99
  0 13  6 15  0.356157E-03  70616.83
  0 13  6 11  0.265960E-04  73978.07
  0 13  7 15  0.485880E-02  68519.01
  0 13  7 11  0.408525E-03  71574.56
  0 13  8 15  0.472645E-01  66710.98
  0 13  8 11  0.501341E-02  69431.63
  0 13  9 15  0.274077E+00  65232.76
  0 13  9 11  0.444702E-01  67571.02
  0 13 10 11  0.242400E+00  66025.97
  0 13 11 11  0.546539E+00  64846.52
  0 14  1 16  0.230797E-09  83687.35
  0 14  2 16  0.403994E-08  80461.82
  0 14  2 12  0.481353E-09  85086.44
  0 14  3 16  0.826511E-07  77462.54
  0 14  3 12  0.693985E-08  81806.81
  0 14  4 16  0.182625E-05  74694.17
  0 14  4 12  0.121378E-06  78754.11
  0 14  5 16  0.378751E-04  72164.59
  0 14  5 12  0.231725E-05  75931.82
  0 14  6 16  0.658952E-03  69887.14
  0 14  6 12  0.420987E-04  73347.22
  0 14  7 16  0.878072E-02  67881.21
  0 14  7 12  0.651921E-03  71011.27
  0 14  8 16  0.800957E-01  66177.85
  0 14  8 12  0.786296E-02  68941.55
  0 14  9 16  0.395965E+00  64825.08
  0 14  9 12  0.664700E-01  67162.36
  0 14 10 12  0.324109E+00  65711.60
  0 14 11 12  0.529064E+00  64650.48
  1  0  0  2  0.133574E-06  99009.57
  1  0  1  2  0.264860E-06  94866.10
  1  0  2  2  0.176661E-06  90957.63
  1  0  3  2  0.302588E-07  87279.26
  1  0  4  2  0.150505E-07  83828.22
  1  0  5  2  0.338309E-06  80603.64
  1  0  6  2  0.354253E-05  77606.94
  1  0  7  2  0.414608E-04  74842.39
  1  0  8  2  0.482160E-03  72317.58
  1  0  9  2  0.480508E-02  70044.15
  1  0 10  2  0.364364E-01  68039.15
  1  0 11  2  0.182724E+00  66325.82
  1  0 12  2  0.466392E+00  64937.67
  1  0 13  2  0.288141E+00  63920.90
  1  0 14  2  0.565096E-02  63340.80
  1  1  0  3  0.228880E-06  98670.63
  1  1  1  3  0.456391E-06  94544.76
  1  1  2  3  0.316164E-06  90653.47
  1  1  3  3  0.679148E-07  86992.03
