# p_bar (bar) z (km) T (K) nH2 (cm-3) nHe (cm-3) nH (cm-3) nCH4 (cm-3) nC2H2 (cm-3) nC2H4 (cm-3) nC2H6 (cm-3)
3.606735e-02   71.78  163.48 2.277254e+17 3.322833e+16 3.974362e+06 5.027615e+14 2.963965e+09 2.373138e+11 1.900407e+07
3.412449e-02   72.99  163.48 2.174810e+17 3.163118e+16 4.213213e+06 4.798328e+14 2.849259e+09 2.282441e+11 2.045540e+07
3.228628e-02   74.20  163.48 2.072366e+17 3.003403e+16 4.452065e+06 4.569041e+14 2.734552e+09 2.191744e+11 2.190674e+07
3.054710e-02   75.42  163.48 1.969922e+17 2.843689e+16 4.690917e+06 4.339755e+14 2.619846e+09 2.101047e+11 2.335807e+07
2.890160e-02   76.63  163.48 1.867478e+17 2.683974e+16 4.929769e+06 4.110468e+14 2.505139e+09 2.010350e+11 2.480941e+07
2.734474e-02   77.84  163.48 1.765034e+17 2.524259e+16 5.168621e+06 3.881181e+14 2.390433e+09 1.919652e+11 2.626074e+07
2.587174e-02   79.06  163.48 1.662590e+17 2.364544e+16 5.407473e+06 3.651894e+14 2.275726e+09 1.828955e+11 2.771208e+07
2.447809e-02   80.27  163.48 1.568047e+17 2.217942e+16 5.675551e+06 3.440517e+14 2.168504e+09 1.745835e+11 2.920358e+07
2.315951e-02   81.49  163.48 1.501000e+17 2.116979e+16 6.045354e+06 3.291476e+14 2.087331e+09 1.689087e+11 3.083492e+07
2.191197e-02   82.71  163.48 1.433954e+17 2.016016e+16 6.415157e+06 3.142435e+14 2.006158e+09 1.632339e+11 3.246626e+07
2.073162e-02   83.93  163.48 1.366908e+17 1.915053e+16 6.784960e+06 2.993394e+14 1.924985e+09 1.575590e+11 3.409759e+07
1.961486e-02   85.14  163.48 1.299862e+17 1.814091e+16 7.154763e+06 2.844353e+14 1.843812e+09 1.518842e+11 3.572893e+07
1.855825e-02   86.36  163.48 1.232816e+17 1.713128e+16 7.524566e+06 2.695312e+14 1.762640e+09 1.462094e+11 3.736026e+07
1.755856e-02   87.58  163.48 1.165770e+17 1.612165e+16 7.894369e+06 2.546271e+14 1.681467e+09 1.405346e+11 3.899160e+07
1.661273e-02   88.80  163.48 1.098724e+17 1.511202e+16 8.264172e+06 2.397230e+14 1.600294e+09 1.348598e+11 4.062293e+07
1.571784e-02   90.01  163.48 1.031952e+17 1.410678e+16 8.636370e+06 2.248806e+14 1.519478e+09 1.292073e+11 4.224180e+07
1.487115e-02   91.24  163.48 9.880749e+16 1.346860e+16 9.208873e+06 2.151938e+14 1.468556e+09 1.254260e+11 4.281744e+07
1.407008e-02   92.46  163.48 9.441981e+16 1.283042e+16 9.781375e+06 2.055071e+14 1.417633e+09 1.216446e+11 4.339308e+07
1.331216e-02   93.68  163.48 9.003212e+16 1.219224e+16 1.035388e+07 1.958204e+14 1.366710e+09 1.178633e+11 4.396872e+07
1.259506e-02   94.90  163.48 8.564444e+16 1.155406e+16 1.092638e+07 1.861337e+14 1.315788e+09 1.140819e+11 4.454436e+07
1.191660e-02   96.12  163.48 8.125676e+16 1.091588e+16 1.149888e+07 1.764469e+14 1.264865e+09 1.103006e+11 4.512000e+07
1.127468e-02   97.35  163.48 7.686908e+16 1.027770e+16 1.207139e+07 1.667602e+14 1.213942e+09 1.065192e+11 4.569563e+07
1.066734e-02   98.57  163.48 7.248139e+16 9.639516e+15 1.264389e+07 1.570735e+14 1.163019e+09 1.027379e+11 4.627127e+07
1.009272e-02   99.79  163.48 6.809371e+16 9.001335e+15 1.321639e+07 1.473867e+14 1.112097e+09 9.895654e+10 4.684691e+07
9.549045e-03  101.02  163.48 6.496181e+16 8.557597e+15 1.404868e+07 1.405086e+14 1.076723e+09 9.584602e+10 4.639805e+07
9.034660e-03  102.24  163.48 6.209070e+16 8.154238e+15 1.493492e+07 1.342136e+14 1.044579e+09 9.287481e+10 4.573643e+07
8.547985e-03  103.47  163.48 5.921958e+16 7.750880e+15 1.582115e+07 1.279187e+14 1.012435e+09 8.990360e+10 4.507480e+07
8.087525e-03  104.69  163.48 5.634847e+16 7.347522e+15 1.670739e+07 1.216238e+14 9.802904e+08 8.693239e+10 4.441318e+07
7.651869e-03  105.92  163.48 5.347736e+16 6.944163e+15 1.759363e+07 1.153289e+14 9.481462e+08 8.396118e+10 4.375156e+07
7.239681e-03  107.14  163.48 5.060625e+16 6.540805e+15 1.847987e+07 1.090340e+14 9.160019e+08 8.098997e+10 4.308994e+07
6.849697e-03  108.37  163.48 4.773514e+16 6.137447e+15 1.936610e+07 1.027390e+14 8.838576e+08 7.801876e+10 4.242831e+07
6.480720e-03  109.60  163.48 4.486403e+16 5.734088e+15 2.025234e+07 9.644412e+13 8.517133e+08 7.504755e+10 4.176669e+07
6.131619e-03  110.83  163.48 4.264658e+16 5.430502e+15 2.146423e+07 9.160228e+13 8.338361e+08 7.254617e+10 4.179024e+07
5.801323e-03  112.05  163.48 4.074946e+16 5.175806e+15 2.283570e+07 8.747250e+13 8.229501e+08 7.027502e+10 4.214954e+07
5.488820e-03  113.28  163.48 3.885233e+16 4.921110e+15 2.420716e+07 8.334271e+13 8.120640e+08 6.800388e+10 4.250884e+07
5.193150e-03  114.51  163.48 3.695520e+16 4.666415e+15 2.557863e+07 7.921292e+13 8.011780e+08 6.573273e+10 4.286814e+07
4.913407e-03  115.74  163.48 3.505808e+16 4.411719e+15 2.695009e+07 7.508313e+13 7.902920e+08 6.346158e+10 4.322744e+07
4.648734e-03  116.97  163.48 3.316095e+16 4.157023e+15 2.832156e+07 7.095335e+13 7.794059e+08 6.119044e+10 4.358675e+07
4.398317e-03  118.20  163.48 3.126382e+16 3.902328e+15 2.969303e+07 6.682356e+13 7.685199e+08 5.891929e+10 4.394605e+07
4.161391e-03  119.43  163.48 2.936670e+16 3.647632e+15 3.106449e+07 6.269377e+13 7.576339e+08 5.664814e+10 4.430535e+07
3.937226e-03  120.66  163.48 2.780619e+16 3.443588e+15 3.291193e+07 5.931122e+13 7.467588e+08 5.458261e+10 4.439137e+07
3.725137e-03  121.89  163.48 2.653428e+16 3.282969e+15 3.516744e+07 5.656929e+13 7.358932e+08 5.269336e+10 4.424310e+07
